Dystans do przejścia: 20, dlugosc kroku: 2.3
637:(x,y)=(3.43726,3.13464)
638:(x,y)=(3.16577,2.92996)
639:(x,y)=(2.89071,2.73011)
640:(x,y)=(2.66173,2.47878)
641:(x,y)=(2.781,2.16038)
642:(x,y)=(2.46999,2.023)
643:(x,y)=(2.80934,2.00196)
644:(x,y)=(2.75987,2.33834)
645:(x,y)=(3.04184,2.14836)
646:(x,y)=(3.28595,2.38503)
647:(x,y)=(3.4542,2.68048)
648:(x,y)=(3.78835,2.7433)
649:(x,y)=(3.96181,3.03573)
650:(x,y)=(3.62766,3.09854)
651:(x,y)=(3.87386,2.86405)
652:(x,y)=(3.58696,2.68161)
653:(x,y)=(3.31914,2.47215)
654:(x,y)=(3.64108,2.3628)
655:(x,y)=(3.78258,2.05365)
656:(x,y)=(4.12246,2.04463)
657:(x,y)=(4.32834,2.31521)
658:(x,y)=(4.64929,2.42741)
659:(x,y)=(4.31968,2.34401)
660:(x,y)=(4.13345,2.62848)
661:(x,y)=(4.47005,2.5805)
662:(x,y)=(4.65375,2.8666)
663:(x,y)=(4.34397,3.00673)
664:(x,y)=(4.00558,2.97367)
665:(x,y)=(3.69832,2.82809)
666:(x,y)=(3.63995,2.49314)
667:(x,y)=(3.91144,2.28846)
668:(x,y)=(4.21997,2.43132)
669:(x,y)=(4.375,2.12872)
670:(x,y)=(4.03548,2.14676)
671:(x,y)=(3.89672,2.45715)
672:(x,y)=(3.5572,2.47519)
673:(x,y)=(3.77715,2.73446)
674:(x,y)=(4.09393,2.85795)
675:(x,y)=(3.89775,3.13564)
676:(x,y)=(3.75354,2.82774)
677:(x,y)=(4.09163,2.86379)
678:(x,y)=(4.40016,3.00664)
679:(x,y)=(4.27528,2.69041)
680:(x,y)=(4.60089,2.59253)
681:(x,y)=(4.51313,2.26405)
682:(x,y)=(4.56558,1.92812)
683:(x,y)=(4.68485,1.60973)
684:(x,y)=(5.00377,1.72759)
685:(x,y)=(4.67019,1.66181)
686:(x,y)=(4.424,1.42731)
687:(x,y)=(4.09513,1.51361)
688:(x,y)=(3.9064,1.2308)
689:(x,y)=(3.60731,1.06911)
690:(x,y)=(3.28085,0.974101)
691:(x,y)=(3.58811,0.828528)
692:(x,y)=(3.39688,1.10965)
693:(x,y)=(3.08349,0.977795)
694:(x,y)=(2.8479,1.22295)
695:(x,y)=(2.95296,1.54631)
696:(x,y)=(3.15644,1.27392)
697:(x,y)=(2.81905,1.31594)
698:(x,y)=(3.14378,1.4167)
699:(x,y)=(2.91479,1.16538)
700:(x,y)=(3.25318,1.13233)
701:(x,y)=(3.30563,0.796403)
702:(x,y)=(3.61289,0.65083)
703:(x,y)=(3.29193,0.763017)
704:(x,y)=(2.95672,0.819908)
705:(x,y)=(2.92817,1.15871)
706:(x,y)=(2.74447,0.872601)
707:(x,y)=(2.58146,1.17098)
708:(x,y)=(2.71747,0.859363)
709:(x,y)=(2.98154,0.645201)
710:(x,y)=(2.962,0.305763)
711:(x,y)=(2.62964,0.234088)
712:(x,y)=(2.94959,0.119064)
713:(x,y)=(3.04604,-0.20697)
714:(x,y)=(3.10442,-0.54192)
715:(x,y)=(2.84419,-0.760731)
716:(x,y)=(2.85773,-1.10046)
717:(x,y)=(2.77871,-0.769769)
718:(x,y)=(2.43877,-0.763761)
719:(x,y)=(2.76071,-0.873103)
720:(x,y)=(2.90764,-0.56649)
721:(x,y)=(2.57295,-0.626356)
722:(x,y)=(2.5384,-0.288116)
723:(x,y)=(2.50984,0.0506826)
724:(x,y)=(2.79675,-0.131752)
725:(x,y)=(3.11462,-0.252422)
726:(x,y)=(3.45397,-0.273464)
727:(x,y)=(3.49449,0.0641124)
728:(x,y)=(3.16488,-0.0192832)
729:(x,y)=(3.06555,0.305885)
730:(x,y)=(3.20705,-0.00327228)
731:(x,y)=(3.44693,0.237679)
732:(x,y)=(3.11806,0.323979)
733:(x,y)=(3.42532,0.178406)
734:(x,y)=(3.34631,0.509098)
735:(x,y)=(3.13804,0.240351)
736:(x,y)=(3.19938,0.574772)
737:(x,y)=(2.97942,0.834036)
738:(x,y)=(2.76177,0.572829)
739:(x,y)=(2.91411,0.876793)
740:(x,y)=(3.14086,1.13014)
741:(x,y)=(3.0473,0.803263)
742:(x,y)=(3.21295,0.506342)
743:(x,y)=(3.46927,0.729717)
744:(x,y)=(3.75291,0.917202)
745:(x,y)=(3.47263,1.10967)
746:(x,y)=(3.6688,1.38737)
747:(x,y)=(3.83968,1.09343)
748:(x,y)=(3.95329,0.772971)
749:(x,y)=(3.68733,0.984788)
750:(x,y)=(3.36444,1.09128)
751:(x,y)=(3.58667,1.3486)
752:(x,y)=(3.26107,1.25071)
753:(x,y)=(3.53963,1.05577)
754:(x,y)=(3.6589,0.737373)
755:(x,y)=(3.34551,0.605518)
756:(x,y)=(3.00684,0.635563)
757:(x,y)=(2.76273,0.872223)
758:(x,y)=(3.06736,0.721234)
759:(x,y)=(2.76684,0.880258)
760:(x,y)=(2.95807,1.16139)
761:(x,y)=(2.98061,1.50064)
762:(x,y)=(2.86416,1.82007)
763:(x,y)=(2.52482,1.79902)
764:(x,y)=(2.38606,2.10942)
765:(x,y)=(2.39658,2.44926)
766:(x,y)=(2.0798,2.57273)
767:(x,y)=(2.27351,2.29332)
768:(x,y)=(2.25397,1.95388)
769:(x,y)=(1.96546,2.13377)
770:(x,y)=(2.14151,1.84289)
771:(x,y)=(2.21171,1.51022)
772:(x,y)=(2.33379,1.82755)
773:(x,y)=(2.65057,1.95104)
774:(x,y)=(2.88614,2.1962)
775:(x,y)=(2.64203,2.43286)
776:(x,y)=(2.81029,2.72831)
777:(x,y)=(2.73127,3.059)
778:(x,y)=(2.99343,3.2755)
779:(x,y)=(2.95889,3.61374)
780:(x,y)=(3.23916,3.80621)
781:(x,y)=(3.25569,4.14581)
782:(x,y)=(3.58927,4.08004)
783:(x,y)=(3.77044,3.79233)
784:(x,y)=(3.5598,4.05922)
785:(x,y)=(3.84831,4.23911)
786:(x,y)=(4.07055,3.98181)
787:(x,y)=(4.03901,3.64328)
788:(x,y)=(3.83074,3.37453)
789:(x,y)=(4.14642,3.24825)
790:(x,y)=(4.08508,3.58267)
791:(x,y)=(3.76035,3.68343)
792:(x,y)=(3.66679,3.35655)
793:(x,y)=(3.80002,3.66936)
794:(x,y)=(3.75652,3.33215)
795:(x,y)=(3.54353,3.06714)
796:(x,y)=(3.67676,3.37995)
797:(x,y)=(3.97295,3.213)
798:(x,y)=(4.26146,3.39289)
799:(x,y)=(4.45268,3.67402)
800:(x,y)=(4.20857,3.91068)
801:(x,y)=(4.15315,4.24614)
802:(x,y)=(4.42643,4.44841)
803:(x,y)=(4.33577,4.7761)
804:(x,y)=(4.63196,4.60915)
805:(x,y)=(4.57358,4.2742)
806:(x,y)=(4.37987,3.99478)
807:(x,y)=(4.27481,4.31814)
808:(x,y)=(4.14435,4.00416)
809:(x,y)=(4.42632,3.81418)
810:(x,y)=(4.08793,3.78113)
811:(x,y)=(3.81645,3.57644)
812:(x,y)=(3.56818,3.80874)
813:(x,y)=(3.90785,3.79371)
814:(x,y)=(3.79707,4.11516)
815:(x,y)=(4.09899,3.9588)
816:(x,y)=(4.38428,3.77384)
817:(x,y)=(4.09737,3.5914)
818:(x,y)=(4.36886,3.38672)
819:(x,y)=(4.70546,3.33875)
820:(x,y)=(4.38257,3.44523)
821:(x,y)=(4.68308,3.60427)
822:(x,y)=(4.75033,3.93755)
823:(x,y)=(4.79085,4.27513)
824:(x,y)=(5.11467,4.1715)
825:(x,y)=(5.45455,4.16249)
826:(x,y)=(5.18489,4.36956)
827:(x,y)=(5.30416,4.05117)
828:(x,y)=(5.01564,4.23105)
829:(x,y)=(4.67566,4.22805)
830:(x,y)=(4.33996,4.17411)
831:(x,y)=(4.05632,4.36159)
832:(x,y)=(4.19782,4.05243)
833:(x,y)=(4.02695,3.75849)
834:(x,y)=(3.86925,4.0597)
835:(x,y)=(4.15935,3.88237)
836:(x,y)=(3.94636,3.61735)
837:(x,y)=(4.13509,3.33455)
838:(x,y)=(4.3596,3.07922)
839:(x,y)=(4.69955,3.08523)
840:(x,y)=(4.99865,2.92356)
841:(x,y)=(5.30056,2.7672)
842:(x,y)=(5.01528,2.58223)
843:(x,y)=(4.90167,2.26177)
844:(x,y)=(5.13508,2.01454)
845:(x,y)=(5.47167,2.06253)
846:(x,y)=(5.65284,1.77483)
847:(x,y)=(5.34956,1.92851)
848:(x,y)=(5.09126,2.1496)
849:(x,y)=(5.08675,2.48957)
850:(x,y)=(4.75946,2.58168)
851:(x,y)=(4.74893,2.92152)
852:(x,y)=(4.63533,2.60106)
853:(x,y)=(4.97527,2.60708)
854:(x,y)=(5.21515,2.84803)
855:(x,y)=(5.30872,2.52116)
856:(x,y)=(5.15102,2.82237)
857:(x,y)=(5.32448,3.1148)
858:(x,y)=(5.20522,2.7964)
859:(x,y)=(4.86629,2.76934)
860:(x,y)=(5.13412,2.55989)
861:(x,y)=(4.89,2.79655)
862:(x,y)=(4.55531,2.73668)
863:(x,y)=(4.26213,2.56451)
864:(x,y)=(4.0019,2.3457)
865:(x,y)=(3.71181,2.16836)
866:(x,y)=(3.87217,1.86856)
867:(x,y)=(3.53748,1.80869)
868:(x,y)=(3.24739,1.63135)
869:(x,y)=(3.4977,1.40126)
870:(x,y)=(3.23747,1.18245)
871:(x,y)=(2.92769,1.32257)
872:(x,y)=(2.83125,0.996531)
873:(x,y)=(2.6709,0.696719)
874:(x,y)=(2.65435,1.03632)
875:(x,y)=(2.52389,0.72234)
876:(x,y)=(2.30856,0.985457)
877:(x,y)=(2.15354,0.682853)
878:(x,y)=(2.284,0.368882)
879:(x,y)=(2.02767,0.592249)
880:(x,y)=(1.72042,0.446667)
881:(x,y)=(2.01511,0.616239)
882:(x,y)=(2.28477,0.823322)
883:(x,y)=(1.94542,0.802269)
884:(x,y)=(2.28477,0.781226)
885:(x,y)=(2.35498,0.448553)
886:(x,y)=(2.49646,0.757718)
887:(x,y)=(2.80499,0.900575)
888:(x,y)=(2.47853,0.805564)
889:(x,y)=(2.16067,0.684885)
890:(x,y)=(2.413,0.912763)
891:(x,y)=(2.07348,0.930801)
892:(x,y)=(1.93199,1.23996)
893:(x,y)=(2.13787,1.51054)
894:(x,y)=(2.47754,1.49551)
895:(x,y)=(2.41917,1.16056)
896:(x,y)=(2.08745,1.23516)
897:(x,y)=(2.23167,0.927267)
898:(x,y)=(1.90974,0.817915)
899:(x,y)=(2.23534,0.720038)
900:(x,y)=(2.56771,0.648372)
901:(x,y)=(2.54216,0.309333)
902:(x,y)=(2.28982,0.537203)
903:(x,y)=(2.00618,0.72468)
904:(x,y)=(1.97463,0.386146)
905:(x,y)=(1.64903,0.288259)
906:(x,y)=(1.73679,-0.0402181)
907:(x,y)=(1.49906,-0.283283)
908:(x,y)=(1.57514,-0.614662)
909:(x,y)=(1.81502,-0.37371)
910:(x,y)=(2.14463,-0.457096)
911:(x,y)=(2.38021,-0.211936)
912:(x,y)=(2.24975,-0.525912)
913:(x,y)=(2.3462,-0.851946)
914:(x,y)=(2.32365,-0.512695)
915:(x,y)=(2.60562,-0.702675)
916:(x,y)=(2.27147,-0.639859)
917:(x,y)=(2.55998,-0.459962)
918:(x,y)=(2.54945,-0.120125)
919:(x,y)=(2.43584,-0.440584)
920:(x,y)=(2.58277,-0.133971)
921:(x,y)=(2.77894,0.143727)
922:(x,y)=(2.43894,0.143717)
923:(x,y)=(2.15866,0.336185)
924:(x,y)=(2.26943,0.657636)
925:(x,y)=(2.05879,0.924523)
926:(x,y)=(1.73318,0.826636)
927:(x,y)=(1.98951,1.05001)
928:(x,y)=(1.65989,0.966616)
929:(x,y)=(1.99226,0.894951)
930:(x,y)=(2.26908,1.09236)
931:(x,y)=(1.95807,0.954976)
932:(x,y)=(2.29423,1.00593)
933:(x,y)=(1.95508,1.02998)
934:(x,y)=(1.87023,1.35922)
935:(x,y)=(2.04884,1.64853)
936:(x,y)=(1.71017,1.67857)
937:(x,y)=(1.67562,2.01681)
938:(x,y)=(1.40595,2.22389)
939:(x,y)=(1.67561,2.43097)
940:(x,y)=(1.50998,2.13405)
941:(x,y)=(1.20402,2.28233)
942:(x,y)=(1.07356,1.96836)
943:(x,y)=(0.795001,1.77341)
944:(x,y)=(1.03488,2.01436)
945:(x,y)=(0.741698,1.84219)
946:(x,y)=(0.557986,2.12828)
947:(x,y)=(0.855637,2.29261)
948:(x,y)=(0.695285,1.9928)
949:(x,y)=(1.027,2.06741)
950:(x,y)=(0.726478,2.22644)
951:(x,y)=(0.476172,1.99633)
952:(x,y)=(0.244964,2.24562)
953:(x,y)=(0.471716,2.49896)
954:(x,y)=(0.132049,2.48392)
955:(x,y)=(0.386395,2.25829)
956:(x,y)=(0.150811,2.50345)
957:(x,y)=(0.194328,2.16624)
958:(x,y)=(0.32756,2.47905)
959:(x,y)=(-0.00347851,2.4015)
960:(x,y)=(-0.0109914,2.06159)
961:(x,y)=(0.328676,2.04655)
962:(x,y)=(0.00771818,2.15874)
963:(x,y)=(-0.160547,2.45418)
964:(x,y)=(0.144087,2.30319)
965:(x,y)=(0.435735,2.47796)
966:(x,y)=(0.710805,2.27811)
967:(x,y)=(0.679261,1.93958)
968:(x,y)=(0.375974,2.09326)
969:(x,y)=(0.679256,2.24695)
970:(x,y)=(0.57134,1.92453)
971:(x,y)=(0.882352,1.78716)
972:(x,y)=(0.714087,2.0826)
973:(x,y)=(0.476349,1.83954)
974:(x,y)=(0.308084,2.13498)
975:(x,y)=(0.499309,2.41611)
976:(x,y)=(0.825767,2.3211)
977:(x,y)=(0.890071,1.98724)
978:(x,y)=(1.03429,1.67934)
979:(x,y)=(0.764626,1.88642)
980:(x,y)=(0.709209,2.22187)
981:(x,y)=(0.562268,2.52848)
982:(x,y)=(0.812581,2.29839)
983:(x,y)=(0.535753,2.49579)
984:(x,y)=(0.322762,2.23077)
985:(x,y)=(0.638442,2.10449)
986:(x,y)=(0.77719,2.41489)
987:(x,y)=(0.787712,2.75473)
988:(x,y)=(0.953355,2.45781)
989:(x,y)=(0.658655,2.62737)
990:(x,y)=(0.910987,2.85525)
991:(x,y)=(1.20108,2.67792)
992:(x,y)=(0.985745,2.94104)
993:(x,y)=(1.09367,2.61862)
994:(x,y)=(1.43027,2.57065)
995:(x,y)=(1.73078,2.72968)
996:(x,y)=(1.85286,3.04701)
997:(x,y)=(1.62387,2.79568)
998:(x,y)=(1.91857,2.96526)
999:(x,y)=(1.64174,3.16265)
1000:(x,y)=(1.33196,3.30277)
1001:(x,y)=(1.4976,3.00585)
1002:(x,y)=(1.7877,2.82853)
1003:(x,y)=(1.4648,2.93501)
1004:(x,y)=(1.79209,3.02713)
1005:(x,y)=(1.96555,3.31956)
1006:(x,y)=(1.62662,3.2925)
1007:(x,y)=(1.28728,3.27145)
1008:(x,y)=(1.34861,3.60587)
1009:(x,y)=(1.32006,3.94467)
1010:(x,y)=(1.61625,3.77772)
1011:(x,y)=(1.32459,3.95247)
1012:(x,y)=(1.60988,3.76751)
1013:(x,y)=(1.35355,3.99088)
1014:(x,y)=(1.56182,3.72214)
1015:(x,y)=(1.69506,4.03495)
1016:(x,y)=(1.44072,3.80931)
1017:(x,y)=(1.27508,3.51239)
1018:(x,y)=(0.948627,3.41738)
1019:(x,y)=(0.902126,3.75418)
1020:(x,y)=(0.623568,3.55923)
1021:(x,y)=(0.371229,3.7871)
1022:(x,y)=(0.429613,3.45215)
1023:(x,y)=(0.410072,3.11271)
1024:(x,y)=(0.381515,3.45151)
1025:(x,y)=(0.0946106,3.26907)
1026:(x,y)=(-0.231844,3.17406)
1027:(x,y)=(-0.0259649,3.44464)
1028:(x,y)=(-0.35483,3.53094)
1029:(x,y)=(-0.272894,3.20096)
1030:(x,y)=(-0.567595,3.37052)
1031:(x,y)=(-0.803179,3.61567)
1032:(x,y)=(-1.02314,3.87494)
1033:(x,y)=(-1.33993,3.99842)
1034:(x,y)=(-1.66282,4.1049)
1035:(x,y)=(-1.80976,4.41151)
1036:(x,y)=(-2.04965,4.65246)
1037:(x,y)=(-2.23334,4.36635)
1038:(x,y)=(-2.02746,4.63693)
1039:(x,y)=(-1.98992,4.29901)
1040:(x,y)=(-1.95837,3.96048)
1041:(x,y)=(-2.23692,3.76553)
1042:(x,y)=(-2.15792,4.09622)
1043:(x,y)=(-2.08184,3.76484)
1044:(x,y)=(-2.12834,4.10165)
1045:(x,y)=(-2.43935,3.96427)
1046:(x,y)=(-2.58629,4.27087)
1047:(x,y)=(-2.27061,4.1446)
1048:(x,y)=(-2.26009,4.48443)
1049:(x,y)=(-1.98502,4.28459)
1050:(x,y)=(-2.05816,4.61663)
1051:(x,y)=(-2.34181,4.80411)
1052:(x,y)=(-2.65034,4.94695)
1053:(x,y)=(-2.78358,5.25976)
1054:(x,y)=(-3.10831,5.36051)
1055:(x,y)=(-2.76836,5.36653)
1056:(x,y)=(-2.43316,5.42343)
1057:(x,y)=(-2.30827,5.1072)
1058:(x,y)=(-2.39312,5.43644)
1059:(x,y)=(-2.08849,5.28545)
1060:(x,y)=(-2.22173,5.59826)
1061:(x,y)=(-2.36867,5.90487)
1062:(x,y)=(-2.38522,6.24446)
1063:(x,y)=(-2.30037,6.57371)
1064:(x,y)=(-2.48407,6.2876)
1065:(x,y)=(-2.3963,5.95913)
1066:(x,y)=(-2.41285,6.29872)
1067:(x,y)=(-2.73071,6.17804)
1068:(x,y)=(-2.989,6.39914)
1069:(x,y)=(-3.06215,6.73118)
1070:(x,y)=(-3.32238,6.51237)
1071:(x,y)=(-3.51609,6.23295)
1072:(x,y)=(-3.68956,6.52536)
1073:(x,y)=(-3.72709,6.18744)
1074:(x,y)=(-4.0527,6.08955)
1075:(x,y)=(-4.10513,5.75362)
1076:(x,y)=(-4.42405,5.87147)
1077:(x,y)=(-4.72171,6.03579)
1078:(x,y)=(-4.87673,5.73319)
1079:(x,y)=(-4.69303,6.01929)
1080:(x,y)=(-4.80948,6.33873)
1081:(x,y)=(-4.48852,6.45092)
1082:(x,y)=(-4.40076,6.12245)
1083:(x,y)=(-4.26475,5.81083)
1084:(x,y)=(-3.94583,5.92869)
1085:(x,y)=(-4.26038,6.05776)
1086:(x,y)=(-4.04273,5.79656)
1087:(x,y)=(-3.74221,5.95559)
1088:(x,y)=(-3.57657,5.65867)
1089:(x,y)=(-3.23882,5.61964)
1090:(x,y)=(-2.962,5.81705)
1091:(x,y)=(-3.29668,5.75719)
1092:(x,y)=(-3.18307,5.43673)
1093:(x,y)=(-2.88688,5.26978)
1094:(x,y)=(-2.8108,4.93841)
1095:(x,y)=(-3.05699,4.70391)
1096:(x,y)=(-3.28597,4.45258)
1097:(x,y)=(-2.95028,4.39866)
1098:(x,y)=(-2.65409,4.23171)
1099:(x,y)=(-2.50444,3.92642)
1100:(x,y)=(-2.51797,3.58669)
1101:(x,y)=(-2.17802,3.5927)
1102:(x,y)=(-2.21257,3.93094)
1103:(x,y)=(-2.38083,4.22639)
1104:(x,y)=(-2.71784,4.18138)
1105:(x,y)=(-2.64471,4.51342)
1106:(x,y)=(-2.92326,4.31847)
1107:(x,y)=(-2.76026,4.61685)
1108:(x,y)=(-3.09325,4.68557)
1109:(x,y)=(-2.7787,4.81465)
1110:(x,y)=(-2.69676,4.48467)
1111:(x,y)=(-2.77284,4.15329)
1112:(x,y)=(-2.9996,4.40663)
1113:(x,y)=(-2.68391,4.28035)
1114:(x,y)=(-2.96419,4.47282)
1115:(x,y)=(-2.63774,4.37781)
1116:(x,y)=(-2.29795,4.38985)
1117:(x,y)=(-2.30546,4.04993)
1118:(x,y)=(-1.98074,4.1507)
1119:(x,y)=(-2.10562,3.83446)
1120:(x,y)=(-2.40613,3.99349)
1121:(x,y)=(-2.63953,3.74625)
1122:(x,y)=(-2.95632,3.86973)
1123:(x,y)=(-2.88024,3.53835)
1124:(x,y)=(-3.00232,3.85568)
1125:(x,y)=(-3.21059,3.58693)
1126:(x,y)=(-3.42824,3.32572)
1127:(x,y)=(-3.38174,3.66253)
1128:(x,y)=(-3.09324,3.84243)
1129:(x,y)=(-3.41613,3.94891)
1130:(x,y)=(-3.07838,3.90989)
1131:(x,y)=(-2.89977,4.19919)
1132:(x,y)=(-2.72116,4.4885)
1133:(x,y)=(-2.50816,4.22349)
1134:(x,y)=(-2.83461,4.12848)
1135:(x,y)=(-3.1444,4.2686)
1136:(x,y)=(-3.14891,4.60857)
1137:(x,y)=(-2.81275,4.65953)
1138:(x,y)=(-3.14574,4.72825)
1139:(x,y)=(-3.30874,5.02662)
1140:(x,y)=(-3.6064,5.19094)
1141:(x,y)=(-3.32958,5.38835)
1142:(x,y)=(-3.23601,5.06148)
1143:(x,y)=(-3.55983,4.95784)
1144:(x,y)=(-3.30952,4.72775)
1145:(x,y)=(-3.43998,4.41377)
1146:(x,y)=(-3.39052,4.75015)
1147:(x,y)=(-3.09733,4.57799)
1148:(x,y)=(-3.43473,4.62001)
1149:(x,y)=(-3.71155,4.8174)
1150:(x,y)=(-3.40692,4.66642)
1151:(x,y)=(-3.46826,5.00084)
1152:(x,y)=(-3.46074,4.66092)
1153:(x,y)=(-3.76537,4.50992)
1154:(x,y)=(-3.44969,4.38364)
1155:(x,y)=(-3.53162,4.05366)
1156:(x,y)=(-3.64807,4.3731)
1157:(x,y)=(-3.62552,4.71235)
1158:(x,y)=(-3.51191,4.39189)
1159:(x,y)=(-3.25166,4.17309)
1160:(x,y)=(-3.42513,4.46551)
1161:(x,y)=(-3.3638,4.79993)
1162:(x,y)=(-3.57444,5.06682)
1163:(x,y)=(-3.23466,5.07885)
1164:(x,y)=(-3.47024,5.32401)
1165:(x,y)=(-3.60348,5.63681)
1166:(x,y)=(-3.42231,5.3491)
1167:(x,y)=(-3.24114,5.06139)
1168:(x,y)=(-2.91641,5.16216)
1169:(x,y)=(-3.13406,4.90095)
1170:(x,y)=(-3.43869,4.74995)
1171:(x,y)=(-3.30269,4.43834)
1172:(x,y)=(-3.35216,4.77472)
1173:(x,y)=(-3.59627,5.01138)
1174:(x,y)=(-3.25675,5.02943)
1175:(x,y)=(-3.02776,4.77811)
1176:(x,y)=(-2.70989,4.65744)
1177:(x,y)=(-2.76233,4.32151)
1178:(x,y)=(-2.68039,3.99153)
1179:(x,y)=(-2.34124,4.01558)
1180:(x,y)=(-2.21917,4.33291)
1181:(x,y)=(-1.90239,4.4564)
1182:(x,y)=(-1.68706,4.71952)
1183:(x,y)=(-1.43675,4.48943)
1184:(x,y)=(-1.58369,4.79604)
1185:(x,y)=(-1.44219,4.48688)
1186:(x,y)=(-1.11257,4.40349)
1187:(x,y)=(-0.800359,4.53812)
1188:(x,y)=(-0.530699,4.7452)
1189:(x,y)=(-0.867706,4.70019)
1190:(x,y)=(-0.543883,4.59656)
1191:(x,y)=(-0.82071,4.79396)
1192:(x,y)=(-0.97035,4.48866)
1193:(x,y)=(-1.30604,4.43473)
1194:(x,y)=(-1.50952,4.16234)
1195:(x,y)=(-1.57087,4.49676)
1196:(x,y)=(-1.57236,4.15676)
1197:(x,y)=(-1.87146,3.99508)
1198:(x,y)=(-1.86995,3.65508)
1199:(x,y)=(-2.06857,3.37913)
1200:(x,y)=(-2.12695,3.04418)
1201:(x,y)=(-2.26844,3.35334)
1202:(x,y)=(-1.95504,3.22149)
1203:(x,y)=(-1.74916,3.49207)
1204:(x,y)=(-1.58352,3.19515)
1205:(x,y)=(-1.7084,2.87892)
1206:(x,y)=(-1.71291,3.21889)
1207:(x,y)=(-1.63098,2.88891)
1208:(x,y)=(-1.57853,2.55298)
1209:(x,y)=(-1.26514,2.42113)
1210:(x,y)=(-1.26363,2.08113)
1211:(x,y)=(-0.970442,1.90897)
1212:(x,y)=(-1.30745,1.86396)
1213:(x,y)=(-1.56378,2.08733)
1214:(x,y)=(-1.74748,1.80122)
1215:(x,y)=(-1.45897,1.98112)
1216:(x,y)=(-1.7809,1.87177)
1217:(x,y)=(-2.0271,1.63727)
1218:(x,y)=(-2.33688,1.77739)
1219:(x,y)=(-2.41295,1.44601)
1220:(x,y)=(-2.75295,1.446)
1221:(x,y)=(-2.98416,1.69528)
1222:(x,y)=(-3.32225,1.73132)
1223:(x,y)=(-3.5399,1.47011)
1224:(x,y)=(-3.61304,1.80215)
1225:(x,y)=(-3.81411,2.07633)
1226:(x,y)=(-4.15409,2.07332)
1227:(x,y)=(-4.11655,1.7354)
1228:(x,y)=(-4.42509,1.87824)
1229:(x,y)=(-4.18098,2.11491)
1230:(x,y)=(-4.49076,2.25503)
1231:(x,y)=(-4.18613,2.10404)
1232:(x,y)=(-3.86052,2.00617)
1233:(x,y)=(-4.04423,2.29226)
1234:(x,y)=(-4.3731,2.37856)
1235:(x,y)=(-4.62544,2.60643)
1236:(x,y)=(-4.44939,2.31556)
1237:(x,y)=(-4.39694,1.97963)
1238:(x,y)=(-4.5573,1.67982)
1239:(x,y)=(-4.89087,1.61404)
1240:(x,y)=(-4.72523,1.31711)
1241:(x,y)=(-5.05409,1.40341)
1242:(x,y)=(-5.18178,1.71853)
1243:(x,y)=(-4.89168,1.5412)
1244:(x,y)=(-4.74475,1.84781)
1245:(x,y)=(-4.89439,1.54251)
1246:(x,y)=(-4.94089,1.87932)
1247:(x,y)=(-5.26562,1.98007)
1248:(x,y)=(-4.99233,2.18235)
1249:(x,y)=(-5.1606,2.4778)
1250:(x,y)=(-4.85464,2.62609)
1251:(x,y)=(-4.89815,2.28889)
1252:(x,y)=(-5.23803,2.27986)
1253:(x,y)=(-5.27258,2.6181)
1254:(x,y)=(-4.93291,2.60307)
1255:(x,y)=(-5.21147,2.40812)
1256:(x,y)=(-5.17693,2.74636)
1257:(x,y)=(-5.23235,3.08181)
1258:(x,y)=(-5.02887,2.80943)
1259:(x,y)=(-4.72291,2.95772)
1260:(x,y)=(-5.051,2.8685)
1261:(x,y)=(-4.99559,3.20396)
1262:(x,y)=(-4.81954,2.91309)
1263:(x,y)=(-4.83608,3.25269)
1264:(x,y)=(-4.63745,2.97674)
1265:(x,y)=(-4.30509,2.90507)
1266:(x,y)=(-4.47336,3.20052)
1267:(x,y)=(-4.67198,2.92457)
1268:(x,y)=(-4.72145,3.26095)
1269:(x,y)=(-4.72896,2.92103)
1270:(x,y)=(-4.69442,3.25927)
1271:(x,y)=(-4.98294,3.43916)
1272:(x,y)=(-4.9454,3.10124)
1273:(x,y)=(-5.08961,2.79334)
1274:(x,y)=(-5.37157,2.60335)
1275:(x,y)=(-5.61146,2.84429)
1276:(x,y)=(-5.75295,3.15346)
1277:(x,y)=(-5.50675,2.91897)
1278:(x,y)=(-5.25442,3.14684)
1279:(x,y)=(-5.27697,3.48609)
1280:(x,y)=(-5.40185,3.16986)
1281:(x,y)=(-5.12503,3.36727)
1282:(x,y)=(-5.43357,3.51011)
1283:(x,y)=(-5.61218,3.79942)
1284:(x,y)=(-5.6676,4.13487)
1285:(x,y)=(-5.84364,3.84399)
1286:(x,y)=(-5.55045,3.67183)
1287:(x,y)=(-5.76345,3.40681)
1288:(x,y)=(-5.4243,3.43087)
1289:(x,y)=(-5.60801,3.71696)
1290:(x,y)=(-5.29123,3.84045)
1291:(x,y)=(-5.48493,3.56102)
1292:(x,y)=(-5.51349,3.89982)
1293:(x,y)=(-5.45215,4.23424)
1294:(x,y)=(-5.11979,4.16258)
1295:(x,y)=(-5.42308,4.31626)
1296:(x,y)=(-5.59655,4.60868)
1297:(x,y)=(-5.93394,4.65069)
1298:(x,y)=(-5.59527,4.68075)
1299:(x,y)=(-5.33503,4.46194)
1300:(x,y)=(-5.29151,4.12474)
1301:(x,y)=(-5.30205,4.46458)
1302:(x,y)=(-5.01195,4.28725)
1303:(x,y)=(-5.3036,4.462)
1304:(x,y)=(-4.98682,4.58549)
